Source,Interaction
MET,CELSR2
MET,ODZ2
MET,TMEM132A
MET,UNC13A
MET,ELMOD1
MET,FAT3
MET,CACNA1E
MET,LMTK3
MET,PITPNM2
MET,FRY
MET,CLU
MET,MARK3
MET,CDC42BPA
MET,WNK2
MET,DLG4
MET,TRAPPC9
MET,CAMSAP1
MET,PTPRK
MET,NTRK3
MET,CMIP
MET,ARHGAP23
MET,GNAQ
MET,GRM2
MET,DGKH
MET,RPL14
MET,FAM49B
MET,SNX20
MET,LLGL1
MET,G3BP2
MET,GRM1
MET,ITM2C
MET,ODZ4
MET,GNB2L1
MET,DNAJC6
MET,KALRN
MET,NF1
MET,PLXNA4
MET,PCDHGC5
MET,TBC1D10B
MET,SHANK1
MET,DBN1
MET,DLG2
MET,PDE2A
MET,RAPGEF2
MET,PPP3CB
MET,AGAP2
MET,ERC2
MET,CTNNB1
MET,UBR4
MET,SCN2A1
MET,SYT11
MET,CNKSR2
MET,PCDH19
MET,LMTK2
MET,PLXND1
MET,RAB11FIP2
MET,SHANK3
MET,ACVR1B
MET,SYNGAP1
MET,SRCIN1
MET,BSN
MET,GRIN2B
MET,PRKCG
MET,PLXNA1
MET,CAMK2B
MET,DLG3
MET,DNAJC13
MET,RPL6
MET,CAMKV
MET,ABLIM1
MET,GRM5
MET,MAPK8IP3
CELSR2,PHF10
CELSR2,KLF6
CELSR2,GARS
CELSR2,RYK
CELSR2,CRK
CELSR2,SRC
CELSR2,NCK1
CELSR2,UBC
ODZ2,UBC
TMEM132A,HSPA5
TMEM132A,MEGF10
TMEM132A,UBC
UNC13A,EPB41L3
UNC13A,FBXO45
UNC13A,DNPEP
ELMOD1,THG1L
FAT3,HPRT1
FAT3,RYK
CACNA1E,EFHC1
CACNA1E,GNB2
CACNA1E,BEGAIN
LMTK3,ZBTB16
LMTK3,PPP1CA
PITPNM2,CPNE1
PITPNM2,CPNE4
PITPNM2,PTK2B
FRY,CDKL2
FRY,GRASP
FRY,YWHAG
FRY,UBC
CLU,CLUAP1
CLU,MMP25
CLU,NUCB2
CLU,PON1
CLU,TNC
CLU,STAG2
CLU,TUBB6
CLU,HSPA1L
CLU,APOA1
CLU,C7
CLU,C9
CLU,STK3
CLU,C8B
CLU,IL24
CLU,CDK19
CLU,KNSTRN
CLU,TUFM
CLU,LEP
CLU,LYZ
CLU,TGFBR2
CLU,VLDLR
CLU,BAX
CLU,XRCC6
CLU,CBY1
CLU,LRP8
CLU,HBA1
CLU,LEPR
CLU,ATP7A
CLU,CD209
CLU,KLF11
CLU,ATP7B
CLU,TTR
CLU,MDC1
CLU,SLC4A1
CLU,ELN
CLU,LRP2
CLU,TGFBR1
CLU,KATNA1
CLU,LIG4
CLU,ZWINT
CLU,PRNP
CLU,KEAP1
CLU,H2AFX
CLU,XPO1
CLU,APP
CLU,BCL2L1
CLU,SYVN1
CLU,FBXO6
CLU,ACTN1
CLU,RPL23
CLU,RBBP8
CLU,CYP2E1
CLU,HSPD1
CLU,MAPK9
CLU,PPARG
CLU,CHUK
CLU,COMMD1
CLU,POLR1C
CLU,PDIA3
CLU,NFKBIA
CLU,NR3C1
CLU,NR4A1
CLU,NFKB1
CLU,MDM2
CLU,CUL1
CLU,DISC1
CLU,FOS
CLU,BTRC
CLU,TNIK
CLU,TSC22D4
CLU,BAG6
CLU,UBC
CLU,VHL
CLU,GRB2
CLU,ZNF24
MARK3,ASB13
MARK3,CRTC2
MARK3,KSR1
MARK3,ANKRD7
MARK3,SAAL1
MARK3,NOL11
MARK3,TCEA2
MARK3,YWHAE
MARK3,USP21
MARK3,YWHAH
MARK3,NPNPLA2
MARK3,RASGRF1
MARK3,PKP2
MARK3,PMPCB
MARK3,YWHAB
MARK3,CPSF4
MARK3,MARK2
MARK3,FANCF
MARK3,PRKCQ
MARK3,ATP6V0C
MARK3,MAP2
MARK3,TERF2
MARK3,MITF
MARK3,YWHAG
MARK3,PPM1L
MARK3,YWHAQ
MARK3,PIM1
MARK3,UBA52
MARK3,VPS11
MARK3,CDC25C
MARK3,CHGB
MARK3,TTR
MARK3,PPM1B
MARK3,HDAC7
MARK3,IKBKB
MARK3,GLUL
MARK3,PRKAA1
MARK3,YWHAZ
MARK3,HDAC4
MARK3,HDAC5
MARK3,SFN
MARK3,UBC
MARK3,DYNLL1
MARK3,TADA2A
MARK3,FOS
CDC42BPA,MYL9
CDC42BPA,MYL2
CDC42BPA,RAN
CDC42BPA,LIMK2
CDC42BPA,PPP1R12C
CDC42BPA,MYO18A
CDC42BPA,RHOQ
CDC42BPA,CDC42
CDC42BPA,MYL12A
CDC42BPA,PPP1R12A
CDC42BPA,LIMK1
CDC42BPA,CDC42BPB
CDC42BPA,TAF1
CDC42BPA,SNAPIN
WNK2,KLHL3
WNK2,KLHL2
WNK2,SGK1
WNK2,DGCR14
WNK2,WNK1
WNK2,FYN
WNK2,ATXN1
WNK2,ABL1
WNK2,YWHAZ
WNK2,UBE2I
DLG4,NETO1
DLG4,ARC
DLG4,GRIN1
DLG4,APC
DLG4,ADRB1
DLG4,LRRC1
DLG4,ERBB4
DLG4,NLGN4X
DLG4,NTRK2
DLG4,PTPRG
DLG4,FZD7
DLG4,ATP2B4
DLG4,ATP2B2
DLG4,ASIC3
DLG4,KIF13B
DLG4,DLGAP1
DLG4,FZD4
DLG4,SEMA4F
DLG4,ZDHHC17
DLG4,PCDH10
DLG4,GRIN2C
DLG4,SEMA4C
DLG4,CRIPT
DLG4,DLGAP2
DLG4,HTR2C
DLG4,CACNG2
DLG4,LRFN1
DLG4,HTR2A
DLG4,GRIK1
DLG4,NLGN3
DLG4,SEMA4G
DLG4,LGI1
DLG4,FZD2
DLG4,MAP1A
DLG4,GUCY1A2
DLG4,NLGN1
DLG4,DLGAP3
DLG4,KCNJ2
DLG4,FZD1
DLG4,GRIN3B
DLG4,KIF1B
DLG4,LIN7A
DLG4,KCNA4
DLG4,KCNA3
DLG4,KCNA2
DLG4,NDOR1
DLG4,KCNA1
DLG4,ADAM22
DLG4,NLGN2
DLG4,KCNJ10
DLG4,GRIK5
DLG4,GRIA3
DLG4,GDA
DLG4,DLGAP4
DLG4,DAP
DLG4,CD46
DLG4,BAI1
DLG4,GRIN2D
DLG4,CDRT15
DLG4,KERA
DLG4,CLCNKB
DLG4,COL27A1
DLG4,KLHDC8B
DLG4,COQ10A
DLG4,CPXCR1
DLG4,LIN7B
DLG4,ARAP2
DLG4,CTAGE1
DLG4,LRRTM4
DLG4,GRIK2
DLG4,AGBL5
DLG4,DENND2A
DLG4,BEGAIN
DLG4,A4GALT
DLG4,BEST4
DLG4,BMP8A
DLG4,C20ORF26
DLG4,PCDH15
DLG4,PCDHA13
DLG4,PCDHGA7
DLG4,PDZRN3
DLG4,PRAMEF4
DLG4,AKAP5
DLG4,DQX1
DLG4,DYNLL2
DLG4,ENPP2
DLG4,ZSWIM4
DLG4,SHANK2
DLG4,SIPA1L1
DLG4,SPATA16
DLG4,SPATA31E1
DLG4,TOX3
DLG4,TTLL11
DLG4,WFDC3
DLG4,FOXQ1
DLG4,ZIC5
DLG4,ADAM20
DLG4,GRIN2A
TRAPPC9,MAP4K4
TRAPPC9,TRAPPC4
TRAPPC9,TRAPPC8
TRAPPC9,TRAPPC12
TRAPPC9,TRAPPC3L
TRAPPC9,TRAPPC10
TRAPPC9,TRAPPC2L
TRAPPC9,TRAPPC3L
TRAPPC9,RAB3IP
TRAPPC9,TRAPPC2L
TRAPPC9,AMOTL2
TRAPPC9,IKBKB
TRAPPC9,NOTCH1
TRAPPC9,UBC
CAMSAP1,SKIL
CAMSAP1,SMAD1
CAMSAP1,SMAD9
CAMSAP1,EGR1
CAMSAP1,UBC
PTPRK,GSTK1
PTPRK,GADD45G
PTPRK,JUP
PTPRK,FKBP8
PTPRK,MAPK3
PTPRK,GHR
PTPRK,PTPRM
PTPRK,TK1
PTPRK,TEC
PTPRK,INSR
PTPRK,CBL
PTPRK,TEK
PTPRK,NSF
PTPRK,CSK
PTPRK,PDPK1
PTPRK,PXN
PTPRK,PDGFRB
PTPRK,LCK
PTPRK,CDH2
PTPRK,PSMD11
PTPRK,ERBB2
PTPRK,CSNK2B
PTPRK,GADD45A
PTPRK,UBC
NTRK3,NTF3
NTRK3,CASP3
NTRK3,NGFRAP
NTRK3,PTPN1
NTRK3,FRS2
NTRK3,SHC2
NTRK3,DOK5
NTRK3,KIDINS220
NTRK3,SQSTM1
NTRK3,IRAK3
NTRK3,IRAK1
NTRK3,RASGRF1
NTRK3,PLCG1
NTRK3,SH2D1A
NTRK3,SHC1
NTRK3,HTR2A
NTRK3,HSP90AB1
NTRK3,FOS
NTRK3,NGFRAP
NTRK3,DYNLL1
NTRK3,MAPK1
NTRK3,JUN
NTRK3,HSP90AA1
NTRK3,APP
NTRK3,MAPK3
CMIP,MIB1
CMIP,FLNA
CMIP,PIK3R1
CMIP,UBC
ARHGAP23,RPAP1
ARHGAP23,YWHAQ
ARHGAP23,HNRNPA1
